company_symbol,release_date,title,contan
M&M,2026-01-10,"Auto Expo 2026: M&M unveils 5 new EVs","Company commits ₹10,000 crore investment in EV ecosystem"
M&M,2026-02-11,"Q3 Results: M&M profit up 33% on strong SUV, tractor sales","GST cuts boost demand, revenue up 26%"
M&M,2026-02-20,"Budget 2026: Infrastructure push continues","M&M CV division expects 15% growth in coming year"
BAJAJ-AUTO,2023-02-02,"Budget 2023: Focus on green mobility","Bajaj Auto EV division to benefit from FAME III expectations"
BAJAJ-AUTO,2023-03-10,"Nigeria currency crisis hits exports","Bajaj Auto exports down 39% as African markets face turmoil"
BAJAJ-AUTO,2023-04-05,"Sri Lanka economic crisis deepens","Bajaj Auto suspends shipments, awaits payment clarity"
BAJAJ-AUTO,2023-05-15,"Egypt import ban on 3-wheelers impacts Bajaj","Company seeking government intervention for trade resolution"
BAJAJ-AUTO,2023-06-20,"GST Council meet: No change in 2-wheeler tax","Bajaj Auto continues lobbying for rate cut from 28%"
BAJAJ-AUTO,2023-07-12,"Chetak EV sales cross 1 lakh units","Bajaj Auto consolidates leadership in EV 2-wheeler segment"
BAJAJ-AUTO,2023-08-08,"RBI MPC keeps rates unchanged","2-wheeler financing costs remain stable"
BAJAJ-AUTO,2023-09-15,"Festive season begins with strong rural sentiment","Bajaj Auto reports 20% increase in enquiries"
BAJAJ-AUTO,2023-10-25,"Export markets show recovery signs","Nigeria eases import restrictions, Bajaj resumes shipments"
BAJAJ-AUTO,2023-11-18,"Bajaj Auto signs MoU with Maharashtra for EV plant","₹2,500 crore investment planned over 5 years"
BAJAJ-AUTO,2024-01-23,"Interim Budget 2024: No major auto announcements","Bajaj Auto shares dip 2% on disappointment"
BAJAJ-AUTO,2024-02-14,"Valentine's Day: Bajaj launches Pulsar special edition","Targets young buyers with marketing push"
BAJAJ-AUTO,2024-03-05,"Export volumes recover to pre-crisis levels","Bajaj Auto Q4 exports up 45% from trough"
BAJAJ-AUTO,2024-04-18,"Election season: Model code impacts govt tenders","Bajaj Auto CV division sees order delays"
BAJAJ-AUTO,2024-05-30,"Exit poll results boost market sentiment","Auto stocks rally 5% on policy continuity hopes"
BAJAJ-AUTO,2024-06-25,"New govt's first budget: PLI scheme expanded","Bajaj Auto eligible for additional EV incentives"
BAJAJ-AUTO,2024-07-15,"Monsoon progress boosts rural demand outlook","Entry-level motorcycle enquiries pick up"
BAJAJ-AUTO,2024-08-05,"Bajaj Auto enters electric 3-wheeler segment","New model launched with 150km range"
BAJAJ-AUTO,2024-09-22,"GST rate cut: 2-wheelers from 28% to 18%","Bajaj Auto cuts prices by 5-8%, expects demand boost"
BAJAJ-AUTO,2024-10-10,"Festive season sees record 2-wheeler sales","Bajaj Auto reports 28% growth in October"
BAJAJ-AUTO,2024-11-15,"COP29: India commits to EV30@30 target","Bajaj Auto aligns strategy with 30% EV sales by 2030"
BAJAJ-AUTO,2024-12-08,"RBI holds rates, maintains accommodative stance","Bajaj Auto Finance sees stable demand"
BAJAJ-AUTO,2025-01-12,"Bajaj Auto launches new Chetak with swappable battery","Technology partnership with Gogoro enables innovation"
BAJAJ-AUTO,2025-02-01,"Union Budget 2025: Customs duty cut on lithium-ion","EV production costs to reduce by 8-10%"
BAJAJ-AUTO,2025-02-18,"Export markets: Latin America demand surges","Bajaj Auto ships 50,000 units to Brazil in Q4"
BAJAJ-AUTO,2025-03-22,"US tariff threat on Indian imports","Bajaj Auto evaluating local assembly in Mexico"
BAJAJ-AUTO,2025-04-10,"RBI rate cut: Repo down 25 bps to 6.25%","2-wheeler loan EMIs to reduce, demand boost expected"
BAJAJ-AUTO,2025-05-15,"EU carbon border tax impact","Bajaj Auto exploring green steel for exports"
BAJAJ-AUTO,2025-06-20,"Monsoon deficit concerns rural demand","Entry-level motorcycle sales outlook cautious"
BAJAJ-AUTO,2025-07-01,"Budget 2025: FAME III announced with ₹15,000 crore outlay","Bajaj Auto EV division to benefit significantly"
BAJAJ-AUTO,2025-08-05,"Chetak EV sales cross 3 lakh units milestone","Bajaj Auto consolidates No.2 position in EV 2W market"
BAJAJ-AUTO,2025-09-10,"GST Council reduces rates on EV components","Further cost reduction of 5-7% for electric 2-wheelers"
BAJAJ-AUTO,2025-09-22,"GST cut on small cars impacts 2-wheeler demand dynamics","Bajaj Auto monitoring shift in consumer preference"
BAJAJ-AUTO,2025-10-15,"Festive season: 2-wheeler sales up 25% YoY","Bajaj Auto leads growth with 32% increase"
BAJAJ-AUTO,2025-11-12,"Rishab Bajaj takes centre stage at EV launch","Next generation leader to drive EV strategy forward"
BAJAJ-AUTO,2025-12-05,"Year-end review: Bajaj Auto exports recover fully","Export volumes at pre-pandemic levels"
BAJAJ-AUTO,2026-01-15,"Auto Expo 2026: Bajaj showcases 3 new EVs","Strong pipeline for 2026-27"
BAJAJ-AUTO,2026-02-05,"Q3 Results: Profit grows 22% on strong domestic demand","Exports stable, margins expand"
HDFC,2023-02-01,"Union Budget 2023: Affordable housing push benefits HDFC","Budget increases allocation for PM Awas Yojana by 66% to ₹79,000 crore, boosting home loan demand for HDFC"
HDFC,2023-04-05,"RBI keeps repo rate unchanged at 6.5%","Stable policy rates support home loan demand; HDFC maintains growth guidance"
HDFC,2023-06-22,"Deepak Parekh: RBI norms led to HDFC-HDFC Bank merger decision","Former HDFC chairman reveals RBI classification of large NBFCs above ₹50,000 crore prompted consolidation move [citation:2]"
HDFC,2023-07-01,"HDFC-HDFC Bank merger completed, creates banking behemoth","Merger effective July 1, 2023; combined entity becomes second largest bank with ₹22 lakh crore loan book [citation:8]"
HDFC,2023-07-15,"An era ends as HDFC shares stop trading on stock exchanges","Final trading day for HDFC marks end of India's first home loan company's 45-year journey as standalone entity [citation:8]"
HDFC,2024-02-01,"Interim Budget 2024: ₹2.2 lakh crore for affordable housing","Government expands housing scheme, 2 crore additional houses targeted; benefits merged HDFC Bank's mortgage portfolio"
HDFC,2024-07-23,"Union Budget 2024: Interest deduction limit for affordable housing increased","Section 24 deduction raised to ₹3.5 lakh for affordable home loans, stimulating demand in tier-2/3 cities"
HDFC,2025-04-10,"RBI rate cut: Repo down 25 bps to 6.25%","Home loan EMIs to reduce; HDFC Bank expects 15-20% increase in loan applications"
HDFC,2025-09-22,"HDFC Bank launches special home loan campaign post-GST cuts","Passes on benefits of input tax credit reduction to home buyers with 25 bps rate cut on affordable housing"
HDFC,2026-01-25,"Budget 2026 expectations: HDFC Bank sees continued infra push","Housing finance to benefit from proposed urban development schemes and rental housing policy"
ICICI,2023-02-01,"Budget 2023: Capex push to boost corporate lending","ICICI Bank expects 15% growth in corporate loan book from infrastructure spending"
ICICI,2023-09-12,"ICICI Bank's Q2 margins superior to peers at 4.43%","NIM far superior to HDFC Bank's 3.43%; management guides stable margins for FY24 [citation:1]"
ICICI,2023-12-15,"ICICI Bank Q3 results could reinstate faith in bank stocks","Strong asset quality and NIM performance positions ICICI as sector leader [citation:1]"
ICICI,2024-02-01,"Interim Budget 2024: Fiscal deficit target at 5.1%","Bond yields fall, boosting treasury gains for ICICI Bank"
ICICI,2024-07-23,"Budget 2024: Capital gains tax rationalisation impacts investors","ICICI Bank sees shift in investment patterns toward long-term holdings"
ICICI,2025-04-10,"RBI rate cut cycle begins with 25 bps reduction","ICICI Bank NIMs to moderate but loan growth to accelerate"
ICICI,2025-09-22,"ICICI Bank cuts lending rates by 20 bps","Passes on RBI rate cut benefits to customers, boosts retail loan demand"
ICICI,2026-01-16,"ICICI Bank Q3 profit down 4% to ₹11,318 crore on one-time provisions","₹1,283 crore provision for agri book following RBI inspection impacts bottom line; NIM stable at 4.30% [citation:3]"
ICICI,2026-01-25,"Budget 2026: Focus on agriculture credit may ease regulatory pressure","Proposed farm loan restructuring framework could benefit ICICI's agri book provisions"
ICICI,2026-02-20,"ICICI Bank to raise ₹10,000 crore via bonds","Capital infusion plan for FY27 growth; expects 12-14% loan growth"
KOTATMAHIN,2023-05-03,"RBI imposes ₹61.40 lakh penalty on Kotak Bank for compliance failures","Penalty for non-compliance with loan system guidelines and margin requirements for stock-brokers [citation:9]"
KOTATMAHIN,2024-02-01,"Interim Budget 2024: Digital public infrastructure push benefits Kotak","Kotak's 811 digital banking platform to benefit from continued digitisation focus"
KOTATMAHIN,2024-04-15,"Kotak Mahindra Bank suffers major IT outage","Core banking system disruption affects millions of customers; RBI seeks explanation"
KOTATMAHIN,2024-07-23,"Budget 2024: Cybersecurity focus intensifies","Kotak Bank accelerates IT infrastructure overhaul following regulatory concerns"
KOTATMAHIN,2024-08-10,"RBI flags persistent IT deficiencies at Kotak Bank","Supervisory review finds inadequate progress on 2022-23 IT examination observations [citation:4]"
KOTATMAHIN,2025-04-11,"RBI imposes fresh ₹61.40 lakh penalty on Kotak Bank","Penalty for continued compliance failures under Section 47A of Banking Regulation Act [citation:9]"
KOTATMAHIN,2025-04-24,"RBI imposes business restrictions on Kotak Mahindra Bank","Banned from onboarding new online customers and issuing fresh credit cards due to persistent IT failures [citation:4]"
KOTATMAHIN,2025-06-15,"Kotak Bank submits remediation plan to RBI","Comprehensive external audit commissioned; seeks early lifting of restrictions"
KOTATMAHIN,2025-09-22,"Kotak Bank restrictions partially lifted after IT audit clearance","RBI allows limited new customer onboarding after remediation of core deficiencies"
KOTATMAHIN,2026-02-01,"Budget 2026: Fintech and digital banking focus","Kotak looks to rebuild digital leadership after regulatory challenges"
BAJAJFINAN,2023-02-01,"Budget 2023: Credit guarantee scheme for MSMEs expanded","Bajaj Finance to benefit from increased lending to small businesses"
BAJAJFINAN,2023-05-15,"RBI hikes risk weights on bank loans to NBFCs to 125%","Bajaj Finance's borrowing costs may rise; diversifies to bond market"
BAJAJFINAN,2023-10-25,"Q2 results: Bajaj Finance resilient but borrower leverage concerns","61% of new loans go to existing customers, indicating rising leverage [citation:1]"
BAJAJFINAN,2023-12-10,"RBI warns on bank-NBFC linkage, asks NBFCs to diversify funding","Bajaj Finance accelerates retail bond issuance program [citation:1]"
BAJAJFINAN,2024-02-01,"Interim Budget 2024: Consumption story intact","Bajaj Finance expects 20% growth in consumer durable loans"
BAJAJFINAN,2024-07-23,"Budget 2024: Simplification of KYC norms","Digital lending push benefits Bajaj Finance's customer acquisition"
BAJAJFINAN,2024-11-18,"Bajaj Finance crosses ₹3 lakh crore AUM milestone","Consumer financing demand remains strong despite rate environment"
BAJAJFINAN,2025-04-10,"RBI rate cut boosts consumer lending outlook","Bajaj Finance expects EMI burden reduction to drive demand"
BAJAJFINAN,2025-09-22,"GST cuts on auto boost Bajaj Finance's auto book","Two-wheeler and consumer durable financing sees 25% surge in applications"
BAJAJFINAN,2026-01-30,"Budget 2026: Consumption boost expected","Bajaj Finance positioned to benefit from middle-class tax relief proposals"
SUNPHARMA,2023-01-24,"FDA warns Sun Pharma over 'significant' violations at Halol plant","Warning letter cites operator errors, water leaks, and metallic particles found in vials; import alert imposed [citation:1]"
SUNPHARMA,2023-01-19,"Sun Pharma acquires Concert Pharmaceuticals for $576 million","Adds deuruxolitinib for alopecia areata to global dermatology portfolio [citation:1]"
SUNPHARMA,2024-02-01,"Budget 2024: PLI scheme for pharma expanded","Sun Pharma eligible for additional incentives for R&D investments"
SUNPHARMA,2024-08-15,"Sun Pharma settles patent dispute with Incyte for Leqselvi","Clears path for US launch of alopecia areata drug after legal resolution"
SUNPHARMA,2025-07-14,"Sun Pharma launches Leqselvi in US after patent settlement","Anti-baldness drug for severe alopecia launched; analysts project $400M sales by FY30 [citation:5]"
SUNPHARMA,2025-10-20,"Q2FY26: Sun Pharma beats estimates; innovative portfolio outshines generics","Specialty drugs contribute more than generics in US for first time; profit up 2.6% [citation:10]"
SUNPHARMA,2026-01-05,"Sun Pharma gets DCGI nod to launch semaglutide for weight loss in India","Patent expires March 2026; India's first to market GLP-1 for obesity management [citation:10]"
SUNPHARMA,2026-01-10,"US MFN pricing norms may impact Sun's innovative portfolio","Analysts seek clarity on impact from most-favoured nation pricing in Medicare programs [citation:10]"
SUNPHARMA,2026-02-15,"Q3 preview: Leqselvi ramp-up to offset Revlimid decline","Revlimid exclusivity ends Jan 2026; specialty drugs to fill gap [citation:10]"
SUNPHARMA,2026-02-25,"Sun Pharma announces ₹5,000 crore R&D investment for biosimilars","Focus on complex generics and novel biologics for 2027-30 pipeline"
AUROBINDOP,2023-02-01,"Budget 2023: Pharma R&D push benefits Aurobindo","Production-linked incentive scheme for bulk drugs supports margins"
AUROBINDOP,2023-06-10,"Aurobindo receives 3 FDA observations for Hyderabad plant","Minor observations resolved within 30 days; no business impact"
AUROBINDOP,2024-02-01,"Interim Budget 2024: Healthcare allocation up 12%","Domestic formulations business to benefit from increased healthcare spending"
AUROBINDOP,2024-07-23,"Budget 2024: Customs duty reduction on active ingredients","Aurobindo's import costs for key starting materials to reduce by 5-7%"
AUROBINDOP,2025-03-18,"Aurobindo gets USFDA nod for generic HIV drug","First-to-file opportunity strengthens US generics pipeline"
AUROBINDOP,2025-09-22,"USFDA completes inspection of Aurobindo's Unit 7","No observations issued; facility continues supplying US market"
AUROBINDOP,2026-02-10,"USFDA issues Form 483 to Aurobindo's Unit 7 with 9 observations","Inspection finds quality investigations, data integrity, and cleaning validation gaps at Telangana facility [citation:6]"
AUROBINDOP,2026-02-11,"Aurobindo shares fall 5% on USFDA observations","Company says will respond within 15 working days with CAPA plan [citation:6]"
AUROBINDOP,2026-02-15,"Unit 7 contributes 20% of US portfolio; analysts cut estimates","Over 150 ANDA filings supported by facility; near-term approvals may be impacted [citation:6]"
AUROBINDOP,2026-02-20,"Aurobindo hires external consultant for remediation","Former FDA official engaged to strengthen quality systems at Unit 7"
CIPLA,2023-02-01,"Budget 2023: Ayushman Bharat expansion boosts pharma demand","Cipla's domestic business to benefit from healthcare coverage expansion"
CIPLA,2023-06-22,"Cipla settles patent dispute with Gilead over HIV drug Descovy","Consent judgment entered in Delaware court; allows generic version post-2033 [citation:7]"
CIPLA,2024-02-01,"Interim Budget 2024: R&D incentives for pharma","Cipla increases investment in complex generics and respiratory portfolio"
CIPLA,2024-07-23,"Budget 2024: Customs duty rationalisation on APIs","Cipla's input costs for inhalation products to reduce"
CIPLA,2025-04-15,"Cipla launches generic version of Advair Diskus in US","Respiratory franchise strengthens with complex generic approval"
CIPLA,2025-12-20,"Cipla files NDA with USFDA for HIV prevention drug","New application seeks approval for Descovy generic version"
CIPLA,2026-02-10,"Gilead sues Cipla for 'end run' around 2022 patent settlement","Lawsuit claims Cipla's NDA violates patents expiring 2032-2036 [citation:7]"
CIPLA,2026-02-11,"Cipla says confident of legal position on HIV drug","Company statement says application complies with Hatch-Waxman provisions [citation:7]"
CIPLA,2026-02-15,"Analysts see limited financial impact from Gilead lawsuit","HIV drug contribution to US sales modest; legal battle may take 2-3 years"
CIPLA,2026-02-22,"Cipla Q3 results steady despite legal overhang","Domestic formulations grow 12%, respiratory portfolio leads"
TATASTEEL,2023-02-01,"Union Budget 2023: Infrastructure capex push to boost steel demand","Government allocates ₹10 lakh crore for infrastructure, Tata Steel expects 8-10% demand growth"
TATASTEEL,2023-05-15,"European operations restructuring announced","Tata Steel begins consultation for restructuring UK operations amid high energy costs and carbon regulations"
TATASTEEL,2024-02-01,"Interim Budget 2024: Focus on roads and railways continues","Steel demand outlook remains positive with continued infrastructure spending"
TATASTEEL,2024-07-23,"Budget 2024: Customs duty on ferro nickel and coking coal rationalised","Input costs for steel production to reduce by 3-5%, boosting margins"
TATASTEEL,2024-08-10,"Supreme Court ruling on mining taxes impacts Tata Steel","States empowered to levy retrospective taxes; company provision ₹5,000 crore for potential liabilities [citation:1]"
TATASTEEL,2025-03-17,"Fitch downgrades rating headroom amid Chinese import pressure","Cheap steel imports from China pressure domestic prices; Tata Steel may breach EBITDA leverage threshold of 3.0x in FY25 [citation:1]"
TATASTEEL,2025-07-15,"US 25% steel tariffs impact global trade flows","Indian exports to US minimal but diverted steel from other countries may pressure domestic prices [citation:1]"
TATASTEEL,2025-12-10,"Government initiates safeguard duty investigation on steel imports","Anti-dumping probe launched December 2024 to protect domestic steelmakers from cheap Chinese imports [citation:1]"
TATASTEEL,2026-02-06,"Q3FY26 profit surges eightfold to ₹2,689 crore on strong domestic demand","India deliveries surpass 6 million tonnes in a quarter for first time; cost savings of ₹3,000 crore delivered [citation:6]"
TATASTEEL,2026-02-07,"Tata Steel acquires majority stake in Thriveni and Brahmani River Pellets","Secures raw material integration as part of long-term India growth strategy [citation:6]"
JSWSTEEL,2023-02-01,"Budget 2023: PLI scheme for specialty steel expanded","JSW Steel to benefit from ₹6,322 crore allocation for specialty steel production incentives"
JSWSTEEL,2023-06-20,"JSW Steel acquires Italian steelmaker Aferpi","European expansion strategy continues despite challenging market conditions"
JSWSTEEL,2024-02-01,"Interim Budget 2024: Infrastructure spending sustains steel demand","JSW Steel guides for 12-15% volume growth in FY25"
JSWSTEEL,2024-07-23,"Budget 2024: Customs duty on coking coal reduced","Steelmakers' input costs to reduce by ₹500-700 per tonne"
JSWSTEEL,2024-11-15,"JSW Steel reports Q2 profit drop on rising input costs","Chinese imports and coking coal prices impact margins"
JSWSTEEL,2025-03-17,"Fitch warns JSW Steel may breach leverage threshold of 3.7x in FY25","Chinese import pressures and global tariffs weigh on margins despite strong domestic demand [citation:1]"
JSWSTEEL,2025-07-15,"US tariff impact: JSW Steel evaluating Mexico assembly options","Company exploring alternatives to mitigate potential trade diversion effects"
JSWSTEEL,2025-12-15,"Safeguard duty probe offers relief to domestic steelmakers","JSW Steel among beneficiaries of government protection measures against Chinese imports [citation:1]"
JSWSTEEL,2026-01-20,"JSW Steel announces ₹20,000 crore expansion in Odisha","New capacity to add 5 MTPA by 2028, total capacity to reach 42 MTPA"
JSWSTEEL,2026-02-10,"JSW Steel Q3 profit rises 18% on volume growth","Domestic deliveries up 15%, margins expand on cost efficiencies"
HINDALCO,2023-02-01,"Budget 2023: Aluminium PLI scheme benefits Hindalco","Company eligible for incentives under metals and mining production-linked scheme"
HINDALCO,2023-05-10,"Novelis announces Bay Minette project with $2.5 billion investment","US subsidiary's expansion to serve growing automotive aluminium demand"
HINDALCO,2024-02-01,"Interim Budget 2024: Infrastructure push drives aluminium demand","Hindalco expects 8-10% growth in domestic aluminium consumption"
HINDALCO,2024-07-23,"Budget 2024: Customs duty on critical minerals reduced","Lithium-ion battery material imports cheaper for Hindalco's copper business"
HINDALCO,2025-03-15,"US 25% aluminium tariffs impact Novelis margins","Novelis faces $54 million quarterly tariff impact on US-Canada cross-border flows [citation:7]"
HINDALCO,2025-09-10,"Oswego plant fire disrupts Novelis operations","Estimated impact of $550-650 million; 70-80% recoverable through insurance claims [citation:2]"
HINDALCO,2025-11-06,"Hindalco Q2 profit up 21% to ₹4,741 crore despite tariff hit","Novelis EBITDA per tonne at $448, down 8.4% due to tariffs; mitigation strategy underway [citation:7]"
HINDALCO,2025-11-08,"Bay Minette project cost revised upward to $5 billion","Earlier guidance of $4.1 billion increased due to inflation and complexity; commissioning by FY28 [citation:2]"
HINDALCO,2026-01-15,"Hindalco's net leverage to touch 4.0x in Q3 on higher capex","Bay Minette and Oswego repairs pressure cash flows; management confident of long-term returns [citation:2]"
HINDALCO,2026-02-05,"Novelis progressing on tariff mitigation strategy","Relocating manufacturing to US from Canada to reduce tariff impact by FY26-end [citation:7]"
NATIONALAL,2023-02-01,"Budget 2023: Infrastructure spending to boost aluminium demand","NALCO expects 8-10% growth in domestic aluminium consumption from power and construction sectors"
NATIONALAL,2023-06-15,"NALCO reports record profit in FY23 on higher LME prices","London Metal Exchange prices average $2,600/tonne, boosting revenue"
NATIONALAL,2024-02-01,"Interim Budget 2024: Capex push sustains aluminium demand outlook","NALCO's domestic sales strategy prioritises higher realisations over exports"
NATIONALAL,2024-07-23,"Budget 2024: Customs duty on critical minerals reduced","NALCO's import costs for mining equipment and spares to moderate"
NATIONALAL,2025-03-10,"NALCO shifts focus to domestic market as exports become unviable","Export prices unattractive compared to domestic realisations; conscious decision to minimise exports [citation:3]"
NATIONALAL,2025-11-20,"NALCO records best-ever H1 performance with 47% profit growth","Revenues up 18-19% driven by strong LME prices around $2,800-2,900/tonne [citation:3]"
NATIONALAL,2026-01-15,"NALCO CMD seeks infrastructure push in Budget 2026","Demand driven by power and infrastructure sectors; expects continued funding for capex programmes [citation:3]"
NATIONALAL,2026-01-18,"US tariffs not impacting NALCO directly as no exports to America","No direct exports to US; alumina exports go to Middle East, Europe, Southeast Asia only [citation:3]"
NATIONALAL,2026-01-19,"NALCO plans ₹30,000 crore expansion for smelter and power plant","0.5 MTPA smelter (₹17,000-18,000 crore) + 1,080 MW captive power plant (₹12,000 crore); commissioning by 2030-31 [citation:3]"
NATIONALAL,2026-02-15,"NALCO seeks import duty hike on aluminium scrap to 7.5%","Current scrap duty at 2.5% vs primary aluminium at 7.5%; demands parity to protect domestic producers [citation:3]"
NMDC,2023-02-01,"Budget 2023: Mining sector reforms announced","NMDC to benefit from single-window clearance and auction of critical mineral blocks"
NMDC,2023-05-20,"NMDC hits record iron ore production of 45 MT in FY23","Strong demand from steel sector drives volumes; expansion plans on track"
NMDC,2024-02-01,"Interim Budget 2024: Infrastructure push sustains iron ore demand","NMDC guides for 10% volume growth in FY25 on steel demand"
NMDC,2024-07-23,"Budget 2024: Royalty rates on critical minerals revised","NMDC's mining margins to benefit from rationalised royalty structure"
NMDC,2025-03-10,"NMDC announces ₹10,000 crore investment in new mining projects","Expansion in Chhattisgarh and Karnataka to add 15 MTPA capacity by 2027"
NMDC,2025-06-15,"Steel production growth drives iron ore demand","NMDC records 12% volume growth in Q1 on strong offtake from steel mills"
NMDC,2025-09-22,"NMDC reduces iron ore prices by ₹500/tonne","Price revision follows softening global prices and Chinese demand concerns"
NMDC,2025-12-10,"Government initiates safeguard duty on steel; positive for iron ore","Protection to domestic steelmakers sustains iron ore demand from NMDC"
NMDC,2026-01-15,"NMDC to participate in critical mineral auctions through KABIL","Joint venture with NALCO and HCL to bid for lithium and rare earth blocks [citation:3]"
NMDC,2026-02-05,"NMDC Q3 profit up 15% on stable production costs","Iron ore production at 11.5 MT; guides for 46 MT in FY26"
WIPRO,2023-02-01,"Budget 2023: Digital infrastructure push benefits IT sector","Wipro expects increased government spending on digital transformation projects"
WIPRO,2023-04-20,"Wipro Q4 profit up but US banking crisis impacts outlook","Silicon Valley Bank collapse leads clients to delay discretionary spending"
WIPRO,2024-02-01,"Interim Budget 2024: AI and cybersecurity focus","Wipro to benefit from increased allocation for digital public infrastructure"
WIPRO,2024-07-23,"Budget 2024: R&D incentives for tech sector","Wipro's innovation investments eligible for tax benefits under new provisions"
WIPRO,2025-04-17,"Wipro Q4 profit jumps 26% to ₹3,570 crore but revenue guidance weak","Tariff uncertainty leads clients to pause transformation programmes; Q1 revenue guided for 1.5-3.5% decline [citation:10]"
WIPRO,2025-07-15,"Wipro flags cautious client spending amid US tariff threats","Discretionary spending paused; clients focused on cost optimisation only [citation:4]"
WIPRO,2025-07-16,"IT sector faces uncertain demand as clients delay decisions","Wipro among tech firms seeing project postponements due to global economic uncertainty [citation:4]"
WIPRO,2025-10-15,"Wipro signs two mega deals in Q2 despite challenging environment","Deal booking momentum sustains at $14.3 billion for FY25"
WIPRO,2026-01-10,"Wipro to hire 10,000 freshers in FY26","CEO cautious on deployment based on demand environment; avoids onboarding delays seen earlier [citation:10]"
WIPRO,2026-02-05,"Wipro Q3 revenue flat; margins expand on cost controls","Operating margin at 17.5%; attrition rises to 15% as talent market tightens [citation:10]"
SBI,2021-02-01,"Union Budget 2021: Mega privatisation push announced","Government to privatise two public sector banks including IDBI Bank; SBI gains as strongest PSU lender"
SBI,2021-04-06,"RBI keeps repo rate unchanged at 4% amid second COVID wave","Accommodative stance continues; SBI's loan moratorium scheme extended"
SBI,2021-06-15,"SBI raises ₹10,000 crore via AT-1 bonds at 7.72%","Strong investor demand despite pandemic uncertainty; capital adequacy remains comfortable"
SBI,2021-08-10,"RBI announces ₹50,000 crore liquidity window for healthcare","SBI among banks to benefit from targeted lending to vaccine makers and hospitals"
SBI,2021-10-08,"SBI Q2 profit jumps 67% to ₹7,627 crore","Asset quality improves with gross NPA falling to 4.9% from 5.3%"
SBI,2021-12-08,"RBI keeps repo rate at 4%, maintains accommodative stance","SBI's lending rates remain stable; home loan demand continues"
